Gene names,Log2FC_M_WT_M_MUT,negLog10pVal_M_WT_M_MUT,q-value M_WT_M_MUT,Student's T-test Significant M_WT_M_MUT,Log2FC_F_WT_F_MUT,negLog10pVal_F_WT_F_MUT,q-value F_WT_F_MUT,Student's T-test Significant F_WT_F_MUT,Log2FC_M_WT_F_WT,negLog10pVal_M_WT_F_WT,q-value M_WT_F_WT,Student's T-test Significant M_WT_F_WT,Log2FC_M_MUT_F_MUT,negLog10pVal_M_MUT_F_MUT,q-value M_MUT_F_MUT,Student's T-test Significant M_MUT_F_MUT,250262_M_WT_PFC_8w,250263_M_WT_PFC_8w,250264_M_WT_PFC_8w,250297_M_WT_PFC_8w,250265_F_WT_PFC_8w,250266_F_WT_PFC_8w,250267_F_WT_PFC_8w,250293_F_WT_PFC_8w,250271_F_MUT_PFC_8w,250272_F_MUT_PFC_8w,250273_F_MUT_PFC_8w,250268_M_MUT_PFC_8w,2502143_F_MUT_PFC_8w,250269_M_MUT_PFC_8w,250270_M_MUT_PFC_8w,250244_M_MUT_PFC_8w,Log2 iBAQ,Log2 Intensity,MS/MS count,Razor + unique peptides,Q-value,Score,Mol. weight [kDa],Protein IDs,Majority protein IDs,Protein names
Trap1,"2,426510572","9,577728207",0,+,"2,4604671","6,608116287",0,+,"0,007073163986","0,08103386674",1,,"0,0410296917","0,1637374381",1,,"2,329344749","2,221743584","2,325064659","2,34006691","2,260508537","2,285414696","2,31275177","2,329252243","-0,3074455261","-0,3472919464","-0,02968406677","-0,09872627258","0,03048038483","-0,1169233322","-0,1591348648","-0,1150379181",2160200,894390000,13,10,0,"44,697","80,208",Q9CQN1,Q9CQN1,"Heat shock protein 75 kDa, mitochondrial"
Nme3,"1,454643488","0,9325289538","0,286",,"-0,2767870426","0,4244938473",1,,"1,436738491","0,9203935222","0,4106666667",,"-0,2946920395","0,4526447853",1,,"-0,9109983444","-0,3318166733","-3,278394699","-3,266387939","-3,076316833","-3,093118668","-3,68725872","-3,677857399","-3,056148529","-2,68431282","-2,921262741","-3,001087189","-3,765679359","-3,214920998","-3,765379906","-3,624783516",1741400,205650000,3,1,0,"6,3337","19,099",Q9WV85,Q9WV85,Nucleoside diphosphate kinase 3
Shisa9,"1,140636206","2,693100421","0,1906666667",,"1,446151495","4,024303603","0,052",,"-0,1842668056","0,3409393314",1,,"0,1212484837","0,3774249745",1,,"-0,7471151352","-1,651124001","-1,066041946","-1,386145592","-0,8419809341","-0,7912225723","-1,263293266","-1,216862679","-2,724236488","-2,521549225","-2,263100624","-2,424801826","-2,389079094","-2,072432518","-2,379289627","-2,536447525",12980000,399920000,6,5,0,"18,355","46,704",Q9CZN4-3;Q9CZN4;E9QN38;Q9CZN4-4,Q9CZN4-3;Q9CZN4;E9QN38;Q9CZN4-4,Protein shisa-9
Ugt8,"1,044430852","1,71242082","0,268",,"0,376439333","0,4077996119",1,,"0,4654643536","1,557128116","0,8088",,"-0,2025271654","0,1556833527",1,,"-5,936692238","-5,968418121","-6,016499519","-6,307741165","-6,502305984","-6,234030724","-6,893084526","-6,461787224","-6,823588848","-7,63093996","-7,281772614","-6,187649727","-5,860664368","-7,202309132","-7,364475727","-7,652639866",566690,22792000,2,2,0,"3,7056","61,248",Q64676,Q64676,2-hydroxyacylsphingosine 1-beta-galactosyltransferase
Ints5,"1,033994198","1,36592232","0,4126666667",,"0,2094268799","0,5149514909",1,,"0,5155630112","0,5520639789","0,856",,"-0,3090043068","1,721145892",1,,"-3,55221653","-3,363254547","-3,843047142","-2,034176826","-3,64743042","-3,615987778","-4,194126129","-3,397402763","-3,714359283","-4,079632759","-4,000896454","-4,095492363","-3,897766113","-4,235929489","-4,225144386","-4,372105598",650690,26028000,2,2,0,"5,6147","108,35",Q8CHT3,Q8CHT3,Integrator complex subunit 5
Dpp7,"0,7549865246","1,126887705","0,692",,"-0,03210353851","0,04188635467",1,,"0,06576061249","0,1249991369",1,,"-0,7213294506","0,9330099386",1,,"-3,070523262","-3,490929604","-3,068095207","-3,377713203","-3,009317398","-3,578803062","-3,056704521","-3,625478745","-2,878056526","-3,370141983","-3,834842682","-4,954066277","-3,058848381","-3,881334305","-3,391590118","-3,800216675",1158600,20855000,1,1,"0,0091987","1,3712","56,253",Q9ET22,Q9ET22,Dipeptidyl peptidase 2
Abca5,"0,7535562515","0,5856474195","0,6808571429",,"0,252607584","0,2417111637",1,,"-0,6037032604","0,4790520441","0,842974359",,"-1,104651928","1,249395271",1,,"-0,6614370346","0,7686796188","1,123494148","-1,12688446","0,7199048996","0,900135994","0,1162080765","0,7824163437","0,6486434937","0,9746265411","-0,7580137253","-1,16378212","0,6429786682","-0,7133455276","-1,046009064","0,01276397705",22519000,1539400000,7,2,"0,0016685","2,004","134,61",A2AEP5;Q8K448,A2AEP5;Q8K448,Cholesterol transporter ABCA5
Rragd,"0,7277243137","1,129992735","0,61875",,"-0,1983397007","0,43835892",1,,"0,2694730759","0,7236557544",1,,"-0,6565909386","0,9648323767",1,,"-4,831451416","-4,750361443","-5,034660339","-4,648600578","-5,290642738","-4,920975685","-4,714511871","-5,416835785","-5,014364243","-5,047720909","-4,530668259","-5,190104485","-4,956853867","-6,523750305","-5,257318497","-5,204797745",1030600,18550000,1,1,"0,00077012","2,495","45,145",B1AWT2;B1AWT3;Q7TT45;B1AWT4,B1AWT2;B1AWT3;Q7TT45;B1AWT4,Ras-related GTP-binding protein;Ras-related GTP-binding protein D
Tbc1d7,"0,7050321102","0,9982094467","0,625",,"0,008556365967","0,008170783757",1,,"0,09823608398","0,2644648946",1,,"-0,5982396603","0,5838069925",1,,"-1,553282738","-1,818118095","-1,805683136","-1,858553886","-1,533444405","-2,146946907","-1,746165276","-2,002025604","-1,479190826","-1,722335815","-2,819525719","-3,230635643","-1,441755295","-1,937052727","-1,781700134","-2,906377792",720440,15129000,2,2,0,"3,7319","33,826",Q9D0K0;Q9D0K0-2;A0A1Y7VN27,Q9D0K0;Q9D0K0-2;A0A1Y7VN27,TBC1 domain family member 7
Txndc9,"0,6737184525","2,305850932","0,968",,"-0,1212260723","0,1618457086",1,,"0,5025575161","1,780145109","0,7966153846",,"-0,2923870087","0,4530968238",1,,"-4,925937653","-4,873566628","-5,26825428","-5,187227249","-5,316157341","-5,793056488","-5,414730072","-5,741271973","-6,221950531","-5,31578064","-5,140530586","-5,37637043","-5,102049828","-5,898190498","-5,872196198","-5,803102493",7728000,111350000,2,2,0,"4,4328","19,666",A0A0A6YWP9;A0A0A6YXY0;Q9CQ79;A0A0A6YVV3,A0A0A6YWP9;A0A0A6YXY0;Q9CQ79;A0A0A6YVV3,Thioredoxin domain-containing protein 9
