Gene names,Log2FC_M_WT_M_MUT,negLog10pVal_M_WT_M_MUT,q-value M_WT_M_MUT,Student's T-test Significant M_WT_M_MUT,Log2FC_F_WT_F_MUT,negLog10pVal_F_WT_F_MUT,q-value F_WT_F_MUT,Student's T-test Significant F_WT_F_MUT,Log2FC_M_WT_F_WT,negLog10pVal_M_WT_F_WT,q-value M_WT_F_WT,Student's T-test Significant M_WT_F_WT,Log2FC_M_MUT_F_MUT,negLog10pVal_M_MUT_F_MUT,q-value M_MUT_F_MUT,Student's T-test Significant M_MUT_F_MUT,2502261_M_WT_HIP_P21,2502262_M_WT_HIP_P21,2502263_M_WT_HIP_P21,2502265_M_WT_HIP_P21,2502273_F_WT_HIP_P21,2502266_F_WT_HIP_P21,2502126_F_WT_HIP_P21,2502129_F_WT_HIP_P21,2502235_F_MUT_HIP_P21,2502236_F_MUT_HIP_P21,2502237_F_MUT_HIP_P21,2502281_M_MUT_HIP_P21,2502238_F_MUT_HIP_P21,2502285_M_MUT_HIP_P21,2502283_M_MUT_HIP_P21,2502284_M_MUT_HIP_P21,iBAQ,Intensity,MS/MS count,Razor + unique peptides,Mol. weight [kDa],Q-value,Score,Protein IDs,Majority protein IDs,Protein names
Hbb-b2,"2,458360434","1,79671431",0,+,"1,474228144","0,5948175783","0,2946666667",,"0,8929545879","0,2655575179","0,7081355932",,"-0,09117770195","1,88105206","0,7451885856",,"0,0498046875","3,02713871","3,05165863","2,945837975","2,91252327","3,800385475","-0,2093019485","-1,000985146","-0,1594543457","-0,06525707245","-0,1041088104","-0,1815509796","-0,0654706955","-0,2000551224","-0,1561288834","-0,2212667465",39327000,1099200000,15,5,"15,878",0,"39,353",P02089,P02089,Hemoglobin subunit beta-2
Trap1,"2,01188755","5,738279108",0,+,"2,101262331","6,507020431",0,+,"0,1146323681","1,807484147","0,7780770031",,"0,2040071487","0,7324554213","0,7669129512",,"0,9510231018","1,004338264","0,9009151459","0,9812784195","0,839179039","0,9114055634","0,8441677094","0,7842731476","-1,485487938","-1,258368492","-1,111557007","-1,271291733","-1,170610428","-1,205401421","-0,8362283707","-0,8970737457",160410,44048000,7,3,"80,208",0,"8,3999",Q9CQN1,Q9CQN1,"Heat shock protein 75 kDa, mitochondrial"
Folr1,"1,310178995","1,704330186","0,0736",,"0,06431603432","0,05032377965","0,8182729805",,"0,1497905254","0,1227566195","0,7804920783",,"-1,096072435","1,44541684","0,61",,"-2,054909706","-1,361988068","-1,095625877","-2,516308784","-0,9748287201","-2,118011475","-2,087944984","-2,447209358","-1,925077438","-1,251205444","-2,777497292","-3,511565208","-1,9314785","-2,336929321","-3,065215111","-3,355838776",2898800,20292000,1,1,"11,96",0,"5,4611",E9PXB5;E9PYD9;E9Q543;E9PXL5;P35846,E9PXB5;E9PYD9;E9Q543;E9PXL5;P35846,Folate receptor alpha
Phkb,"0,7746472359","2,723958265","0,3368",,"-0,1268565655","0,1682227728","0,716140746",,"0,2522516251","1,331191232","0,7198032787",,"-0,6492521763","1,08816942","0,544",,"-5,14086628","-5,024375916","-4,960655212","-5,087070465","-5,056488991","-5,275842667","-5,410048485","-5,479594231","-5,53586483","-4,38085556","-5,231786728","-6,249929428","-5,566040993","-5,724457741","-5,639012337","-5,69815731",52621,2841600,2,2,124,0,"3,6769",A0AAQ4VMP1;A0AAQ4VMQ4;Q7TSH2;E0CXM1;E0CZ55;E0CX43;A0AAQ4VMQ8,A0AAQ4VMP1;A0AAQ4VMQ4;Q7TSH2;E0CXM1;E0CZ55;E0CX43;A0AAQ4VMQ8,Phosphorylase b kinase regulatory subunit beta;Phosphorylase b kinase regulatory subunit
Cadps,"0,6344571114","1,303810037","0,5432380952",,"0,03870368004","0,06522792059","0,8646371575",,"0,3153586388","0,6290812537","0,7199148936",,"-0,2803947926","0,5609994496","0,7124261168",,"-2,3636446","-2,073839188","-2,565637589","-2,748811722","-2,769052505","-3,053753853","-2,212331772","-2,978229523","-2,740027428","-3,049516678","-2,762446404","-2,888548851","-2,616191864","-2,568449974","-3,297597885","-3,535164833",1944400,128330000,2,1,154,0,"9,2099",Q80TJ1-2;A0A286YDH6,Q80TJ1-2;A0A286YDH6,Calcium-dependent secretion activator 1
Taok2,"0,6311321259","1,133384614","0,4995555556",,"-0,174626112","0,3663128797","0,685115",,"0,337184906","0,9735337598","0,7383939394",,"-0,4685733318","0,7413331239","0,7236315789",,"-4,28749752","-4,700581551","-4,486842155","-4,526027679","-5,152853012","-4,597384453","-5,056668282","-4,542782784","-4,461533546","-5,041226387","-4,675192833","-4,504663467","-4,473231316","-4,87856102","-5,359016418","-5,783236504",161650,7112500,3,3,"119,96",0,"11,428",Q6ZQ29-2;Q6ZQ29;A0A1L1SSV8,Q6ZQ29-2;Q6ZQ29,Serine/threonine-protein kinase TAO2
Brinp2,"0,6062967777","0,6095988801","0,5595918367",,"-0,4082541466","0,6830741988","0,6362962963",,"0,4150326252","0,598836802","0,7529292929",,"-0,5995182991","0,6439600259","0,6367659574",,"-4,298306465","-5,331559181","-4,205636978","-4,515028","-5,216813087","-5,436865807","-4,841616631","-4,515365601","-4,819313049","-4,641048431","-4,003247261","-4,706269264","-4,914035797","-5,147644043","-6,325386047","-4,596418381",174170,5050800,1,1,"89,227",0,"3,3084",Q6DFY8,Q6DFY8,BMP/retinoic acid-inducible neural-specific protein 2
Hebp1,"0,578615427","2,077100821","0,5216363636",,"-0,05868935585","0,07484996928","0,8122768362",,"0,496609211","0,9903558552","0,7434782609",,"-0,1406955719","0,316923293","0,7543984526",,"2,508296013","2,12214756","2,063175201","2,188300133","2,430463791","1,523024559","1,545338631","1,396655083","2,016954422","1,477908134","2,064063072","1,523787498","1,571313858","1,523756027","1,541176796","1,978736877",56042000,620500000,13,6,"21,053",0,"61,503",A0A140T8J4;Q9R257,A0A140T8J4;Q9R257,Heme-binding protein 1
Scg5,"0,5528082848","2,162818427","0,4469677419",,"0,2657470703","0,9393330391","0,654248366",,"0,1204199791","0,2720778252","0,7770666667",,"-0,1666412354","1,10383406","0,7604875",,"0,2113008499","0,6751317978","0,2811450958","0,6917257309","0,3526277542","0,7130384445","0,1452913284","0,1666660309","0,01964664459","-0,06027698517","0,1840524673","-0,1804790497","0,17121315","0,008222579956","-0,005700111389","-0,1739730835",1887900,144160000,6,2,"23,866",0,"40,043",P12961,P12961,Neuroendocrine protein 7B2;N-terminal peptide;C-terminal peptide
Rac3,"0,4975690842","1,893631078","0,5343414634",,"-0,1178121567","0,271302406","0,7192503618",,"0,4740114212","1,652385652","0,7161904762",,"-0,1413698196","0,3636862571","0,7549207623",,"-0,3745861053","-0,3873853683","-0,590467453","-0,3125610352","-0,969748497","-1,222558022","-0,5377130508","-0,8310260773","-0,4609994888","-0,9345827103","-0,9046926498","-0,877746582","-0,789522171","-0,8737049103","-1,262221336","-0,6416034698",2037800,24600000,2,2,"21,379",0,"8,6406",P60764;A2AC13;A0A2R8VH29;G3UZM2;D3Z3L1;F2Z463;D3YX61;Q9ER71-2;Q8R527;Q9ER71,P60764;A2AC13,Ras-related C3 botulinum toxin substrate 3
